Country,UrbanArea,Population,Year,BaseYearPopulationEstimate,LandAreaSquareMiles,Density,LandAreaKm2,Density,BaseYear,PopulationSource,LandAreaSource
Morocco,Meknes,"669000",2015,"500000",20,"33500",52,"12900",2004,C,B
China,"Loudi, HUN","667000",2015,"550000",22,"30300",57,"11700",2010,C,B
China,"Shaoyang, HUN","666000",2015,"600000",41,"16200",106,"6300",2010,C,B
Thailand,Chon Buri,"665000",2015,"500000",64,"10400",166,"4000",2010,C,B
China,"Haicheng (Anshan), LN","664000",2015,"620000",21,"31600",54,"12200",2010,C,B
Germany,Bremen,"660000",2015,"650000",105,"6300",272,"2400",2001,C,B
Nigeria,Warri,"660000",2015,"660000",55,"12000",142,"4600",2015,D,B
Indonesia,Banjarmasin,"659000",2015,"600000",20,"33000",52,"12700",2010,C,B
India,"Mangalore, KA","658000",2015,"620000",25,"26300",65,"10200",2011,A,B
China,"Luohe, HEN","657000",2015,"500000",17,"38600",44,"14900",2010,C,B
India,"Belgaum, KA","657000",2015,"610000",18,"36500",47,"14100",2011,A,B
China,"Kuerle, XJ","655000",2015,"500000",50,"13100",130,"5100",2010,C,B
India,"Malegaon, HP","653000",2015,"576000",9,"72600",23,"28000",2011,A,B
China,"Binzhou, SD","652000",2015,"550000",80,"8200",207,"3100",2010,C,B
South Korea,Cheongju,"651000",2015,"625000",22,"29600",57,"11400",2010,C,B
United States,"Baton Rouge, LA","651000",2015,"594000",367,"1600",9517002010,A,A
China,"Puyang, HEN","650000",2015,"550000",46,"14100",119,"5500",2010,C,B
Egypt,Port Said,"650000",2015,"650000",14,"46400",36,"17900",2015,D,B
India,"Nellore, AP","650000",2015,"650000",16,"40600",41,"15700",2015,D,B
Iraq,Kirkuk,"650000",2015,"650000",32,"20300",83,"7800",2015,D,B
Libya,Misratah,"650000",2015,"650000",85,"7600",220,"3000",2015,D,B
Mexico,Celaya,"650000",2015,"650000",42,"15500",109,"6000",2015,D,B
Mexico,Oaxaca,"650000",2015,"650000",53,"12300",137,"4700",2015,D,B
Nigeria,Oshogbo,"650000",2015,"650000",40,"16300",104,"6300",2015,D,B
Brazil,Ribeirao  Preto,"648000",2015,"600000",43,"15100",111,"5800",2010,C,B
India,"Bhavnagar, GJ","647000",2015,"606000",13,"49800",34,"19200",2011,A,B
Mexico,Veracruz,"647000",2015,"600000",34,"19000",88,"7300",2010,C,B
United Kingdom,Bristol,"646000",2015,"617000",56,"11100",144,"4500",2011,A,A
United States,"Cape Coral, FL","646000",2015,"530000",330,"1600",8558002010,A,A
Uzbekistan,Samarkand,"645000",2015,"600000",76,"8500",197,"3300",1999,F,B
United States,"Springfield, MA-CT","644000",2015,"621000",349,"1800",9047002010,A,A
China,"Lufeng (Shanwei), GD","636000",2010,"590000",18,"35300",47,"13600",2010,C,B
China,"Guigang, GX","633000",2015,"550000",36,"17600",93,"6800",2010,C,B
China,"Kaifeng, HEN","633000",2015,"535000",45,"14100",117,"5400",2007,C,B
Tanzania,Zanzibar,"631000",2015,"550000",25,"25200",65,"9700",2012,C,B
United States,"Knoxville, TN","631000",2015,"559000",438,"1300","1134",6002010,A,A
France,Nantes,"620000",2015,"585000",208,"2800",539,"1200",2008,A,A
China,"Panjin, LN","630000",2015,"580000",40,"15800",104,"6100",2007,C,B
China,"Chuzhou, AH","629000",2015,"550000",64,"9800",166,"3800",2010,F,B
Russia,Makhachkala,"629000",2015,"570000",53,"11900",137,"4600",2010,C,B
Iran,Yazd,"628000",2015,"600000",80,"7900",207,"3000",2013,C,B
North Korea,Chongjin,"625000",2015,"625000",30,"20800",78,"8000",2015,D,B
South Sudan,Juba,"624000",2015,"500000",56,"11100",145,"4300",2010,F,B
Brazil,Uberlandia,"623000",2015,"575000",51,"12200",132,"4700",2010,C,B
China,"Jining, SD","623000",2015,"580000",29,"21500",75,"8300",2010,C,B
India,"Jamnagar, GJ","623000",2015,"600000",18,"34600",47,"13400",2011,A,B
India,"Durgapur, WB","622000",2015,"581000",19,"32700",49,"12600",2011,A,B
Spain,Palma,"621000",2015,"500000",65,"9600",168,"3700",2001,C,B
Albania,Tirana,"620000",2015,"560000",33,"18800",85,"7300",2010,C,B
Latvia,Riga,"620000",2015,"620000",100,"6200",259,"2400",2015,D,B
Palestine,Gaza,"620000",2015,"620000",17,"36500",44,"14100",2015,D,B
Poland,Wrocław,"620000",2015,"620000",48,"12900",124,"5000",2015,C,B
Russia,Tyumen,"620000",2015,"620000",47,"13200",122,"5100",2015,D,B
China,"Maoming, GD","619000",2015,"520000",23,"26900",60,"10400",2010,C,B
Mexico,Tuxtla Gutierrez,"618000",2015,"550000",37,"16700",96,"6400",2010,C,B
Italy,Genoa,"617000",2015,"625000",30,"20600",78,"7900",2010,C,B
United States,"Columbia, SC","616000",2015,"550000",380,"1400",9846002010,A,A
China,"Liaocheng, SD","615000",2015,"550000",50,"12300",130,"4700",2010,C,B
China,"Bozhou, AH","613000",2015,"500000",32,"19200",83,"7400",2010,C,B
India,"Hubli, KL","613000",2015,"570000",20,"30700",52,"11800",2011,F,B
United States,"Albany, NY","613000",2015,"595000",296,"2000",7678002010,A,A
Russia,Barnaul,"612000",2015,"610000",43,"14200",111,"5500",2010,C,B
Argentina,Mar del Plata,"611000",2015,"575000",42,"14500",109,"5600",2010,A,B
Mexico,Hermosillo,"611000",2015,"550000",69,"8900",179,"3400",2010,C,B
Russia,Izhevsk,"611000",2015,"620000",55,"11100",142,"4300",2010,C,B
United States,"Charleston, SC","611000",2015,"548000",293,"1900",7598002010,A,A
United States,"Ogden, UT","611000",2015,"546000",218,"2500",565,"1100",2010,A,A
Iran,Rasht,"610000",2015,"550000",24,"25400",62,"9800",2011,C,B
Morocco,Agadir,"608000",2015,"650000",35,"17400",91,"6700",2004,C,B
China,"Fuyang (Hangzhou), ZJ","607000",2015,"500000",44,"13800",114,"5300",2010,C,B
United States,"Colorado Springs, CO","605000",2015,"559000",188,"3000",487,"1200",2010,A,A
Japan,Kanazawa,"603000",2015,"575000",53,"11400",137,"4400",2005,C,B
China,"Zhoushan, ZJ","602000",2015,"550000",50,"12000",130,"4600",2010,C,B
Bangladesh,Sylhet,"601000",2015,"500000",19,"31600",49,"12200",2011,C,B
China,"Huludao, LN","601000",2015,"550000",49,"12300",127,"4700",2010,C,B
China,"Fuyang, AH","600000",2015,"525000",36,"16700",93,"6400",2010,C,B
China,"Yangjiang, GD","600000",2015,"550000",38,"15800",98,"6100",2010,C,B
India,"Nanded Waghala, MH","600000",2015,"600000",13,"46200",34,"17800",2015,D,B
Indonesia,Pontianak,"600000",2015,"600000",24,"25000",62,"9700",2015,D,B
Italy,Padova,"600000",2015,"600000",72,"8300",186,"3200",2015,D,B
Mozambique,Nampula,"600000",2015,"600000",25,"24000",65,"9300",2015,D,B
Saudi Arabia,Taif,"600000",2015,"600000",70,"8600",181,"3300",2015,D,B
United Kingdom,Belfast,"600000",2015,"600000",62,"9700",161,"3700",2015,D,A
France,Toulon,"590000",2015,"559000",295,"1900",7648002008,A,A
China,"Qujing, YN","599000",2015,"500000",52,"11500",135,"4400",2010,C,B
Switzerland,Geneva,"599000",2015,"515000",70,"8600",181,"3300",2003,C,B
China,"Heze, SD","598000",2015,"575000",48,"12500",124,"4800",2010,C,B
China,"Yongkang (Jinhua), ZJ","596000",2015,"510000",86,"6900",223,"2700",2010,C,B
Germany,Leipzig,"596000",2015,"575000",95,"6300",246,"2400",2011,C,B
China,"Akesu, XJ","594000",2015,"500000",35,"17000",91,"6600",2010,C,B
India,"Bokaro Steel City, JH","594000",2015,"563000",19,"31300",49,"12100",2011,A,B
India,"Kolhapur, MAH","593000",2015,"562000",16,"37100",41,"14300",2011,A,B
Australia,"Gold Coast, QLD-NSW","591000",2015,"534000",235,"2300",609,"1000",2011,A,A
Russia,Ulyanovsk,"591000",2015,"610000",35,"16900",91,"6500",2010,C,B
India,"Jhansi, UP","590000",2015,"550000",16,"36900",41,"14200",2011,A,B
United States,"Bakersfield, CA","590000",2015,"524000",138,"3800",357,"1700",2010,A,A
China: Macau SAR,Macau,"589000",2015,"553000",9,"65400",23,"25300",2011,C,B
China,"Qingyuan, GD","588000",2015,"550000",36,"16300",93,"6300",2010,C,B
India,"Gulbarga, KA","588000",2015,"540000",15,"39200",39,"15100",2011,A,B
Russia,Vladivostok,"587000",2015,"590000",35,"16800",91,"6500",2010,C,B
Sweden,Goteborg,"587000",2015,"550000",79,"6900",205,"2900",2010,A,A
United States,"Provo, UT","586000",2015,"483000",169,"2900",438,"1300",2010,A,A
China,"Mianyang, SC","585000",2015,"530000",25,"23400",65,"9000",2010,C,B
India,"Raurkela, OR","585000",2015,"553000",33,"17700",85,"6800",2011,A,B
Nigeria,Oyo,"585000",2015,"500000",19,"30800",49,"11900",2010,F,B
United States,"Grand Rapids, MI","585000",2015,"570000",281,"2000",7288002010,A,A
China,"Siping, JL","584000",2015,"540000",41,"14200",106,"5500",2010,C,B
Indonesia,Balikpapan,"583000",2015,"500000",22,"26500",57,"10200",2010,A,B
China,"Wanzhou, CQ","582000",2010,"500000",16,"36400",41,"14000",2010,C,B
India,"Ajmer, RJ","581000",2015,"551000",12,"48400",31,"18700",2011,A,B
Japan,Nagano,"581000",2005,"575000",75,"7700",194,"3000",2005,C,B
Colombia,Ibague,"580000",2015,"465000",13,"44600",34,"17200",2005,C,B
Egypt,Suez,"580000",2015,"580000",28,"20700",73,"8000",2015,D,B
India,"Cherthala, KL","580000",2015,"580000",20,"29000",52,"11200",2015,D,B
India,"Muzaffarnagar, UP","580000",2015,"580000",11,"52700",28,"20400",2015,D,B
Jamaica,Kingston,"580000",2015,"580000",40,"14500",104,"5600",2015,D,B
United States,"Murrieta, CA","580000",2015,"442000",162,"2700",420,"1400",2010,A,A
Brazil,"Luziana-Gama, GO-DF","579000",2010,"525000",100,"5800",259,"2200",2010,C,B
India,"Erode, TN","579000",2015,"520000",20,"29000",52,"11200",2011,A,B
China,"Deyang, SC","578000",2015,"490000",68,"8500",40,"14500",2010,C,B
China,"Laiwu, SD","577000",2015,"500000",58,"9900",150,"3800",2010,F,B
Colombia,Pereira,"577000",2015,"530000",17,"33900",44,"13100",2005,C,B
Zambia,Kitwe,"576000",2015,"500000",45,"12800",117,"4900",2011,C,B
Dominican Republic,Santiago,"575000",2015,"575000",29,"19800",75,"7700",2015,D,B
Mexico,Pachuca,"575000",2015,"575000",53,"10800",137,"4200",2015,D,B
Iran,Kerman,"571000",2015,"550000",45,"12700",117,"4900",2011,C,B
Russia,Irkutsk,"571000",2015,"580000",55,"10400",142,"4000",2010,C,B
United States,"Akron, OH","571000",2015,"569000",325,"1800",8427002010,A,A
Israel,Beer Sheba,"570000",2015,"570000",21,"27100",54,"10500",2015,D,B
Pakistan,Sialkot,"570000",2015,"570000",20,"28500",52,"11000",2015,D,B
Pakistan,Sukkur,"570000",2015,"570000",17,"33500",44,"12900",2015,D,B
Philippines,Bacolod,"570000",2015,"525000",32,"17800",83,"6900",2010,C,B
China,"Pizhou (Xuxhou), JS","569000",2015,"450000",31,"18400",80,"7100",2010,C,B
China,"Wuhai, NM","569000",2015,"510000",30,"19000",78,"7300",2010,C,B
Peru,Chiclayo,"569000",2015,"500000",20,"28500",52,"11000",2007,C,B
Indonesia,Jambi,"568000",2015,"500000",30,"18900",78,"7300",2010,C,B
China,"Dezhou, SD-HEB","567000",2015,"500000",68,"8300",176,"3200",2010,C,B
Argentina,Santa Fe,"565000",2015,"500000",45,"12600",117,"4800",2010,C,B
Brazil,Feira de Santana,"565000",2015,"525000",30,"18800",78,"7300",2010,C,B
China,"Pingxiang, JX","565000",2015,"500000",25,"22600",65,"8700",2010,C,B
India,"Firozabad, UP","565000",2015,"500000",11,"51400",28,"19800",2011,A,B
South Korea,Cheonan,"565000",2015,"500000",22,"25700",57,"9900",2010,C,B
China,"Taixing (Taizhou), JS","564000",2015,"490000",34,"16600",88,"6400",2010,C,B
Indonesia,Serang,"564000",2010,"525000",25,"22600",65,"8700",2010,C,B
Malaysia,Seremban,"564000",2015,"500000",60,"9400",155,"3600",2010,C,B
Argentina,Salta,"563000",2015,"525000",42,"13400",109,"5200",2010,C,B
China,"Zhuji (Shaoxing), ZJ","563000",2015,"500000",45,"12500",117,"4800",2010,C,B
India,"Tirunelveli, TN","563000",2015,"530000",20,"28200",52,"10900",2011,A,B
Iran,Zahedan,"563000",2015,"560000",35,"16100",91,"6200",2011,C,B
China,"Taizhou, JS","562000",2015,"500000",45,"12500",117,"4800",2010,C,B
China,"Zhoukou, HEN","562000",2015,"480000",39,"14400",101,"5600",2010,C,B
China,"Anqing, AH","561000",2015,"500000",40,"14000",104,"5400",2010,C,B
China,"Xinyang, HEN","561000",2015,"500000",29,"19300",75,"7500",2010,C,B
China,"Yibin, SC","561000",2015,"510000",22,"25500",57,"9800",2010,C,B
Russia,Khabarovsk,"561000",2015,"570000",75,"7500",194,"2900",2010,C,B
China,"Zhaoqing, GD","560000",2015,"500000",25,"22400",65,"8600",2010,C,B
Iran,Hamadan,"560000",2015,"560000",22,"25500",57,"9800",2015,D,B
Saudi Arabia,Buraydah,"560000",2015,"560000",80,"7000",207,"2700",2015,D,B
Turkey,Samsun,"560000",2015,"560000",26,"21500",67,"8300",2015,D,B
China,"Jiujiang, JX","559000",2015,"500000",42,"13300",109,"5100",2010,C,B
Germany,Mannheim,"559000",2015,"550000",85,"6600",220,"2500",2011,C,B
Belgium,Liege,"558000",2015,"550000",110,"5100",285,"2000",2010,C,B
China,"Huaihua, HUN","556000",2015,"450000",25,"22200",65,"8600",2010,C,B
Russia,Yaroslavl,"556000",2015,"575000",90,"6200",233,"2400",2010,C,B
China,"Liyang (Changzhou), JS","555000",2015,"500000",31,"17900",80,"6900",2010,C,B
China,"Xuchang, HEN","555000",2015,"500000",26,"21300",67,"8200",2010,C,B
China,"Songyuan, JL","554000",2015,"525000",36,"15400",93,"5900",2010,C,B
Bangladesh,Bogra,"550000",2015,"550000",15,"36700",39,"14200",2015,D,B
India,"Tirupati, AP","550000",2015,"550000",23,"23900",60,"9200",2015,D,B
Mexico,Tlaxcala,"550000",2015,"550000",14,"39300",36,"15200",2015,D,B
Nigeria,Akure,"550000",2015,"550000",45,"12200",117,"4700",2015,D,B
Nigeria,Sokoto,"550000",2015,"550000",34,"16200",88,"6200",2015,D,B
North Korea,Hamhung,"550000",2015,"550000",19,"28900",49,"11200",2015,D,B
Syria,Al-Hasakah,"550000",2015,"550000",15,"36700",39,"14200",2015,D,B
Turkey,Urfa,"550000",2015,"550000",16,"34400",41,"13300",2015,D,B
Yemen,Al-Hudaydah,"550000",2015,"550000",12,"45800",31,"17700",2015,D,B
Saudi Arabia,Tabuk,"549000",2015,"500000",70,"7800",181,"3000",2010,C,B
China,"Yiyang, HUN","546000",2015,"470000",20,"27300",52,"10500",2010,C,B
India,"Sangali, MH","545000",2015,"514000",18,"30300",47,"11700",2011,A,B
Philippines,Iolio City,"545000",2010,"500000",25,"21800",65,"8400",2010,C,B
Germany,Saarbrucken,"544000",2001,"515000",90,"6000",233,"2300",2001,C,B
Brazil,Joinville,"542000",2015,"500000",70,"7700",181,"3000",2010,C,B
Japan,Kagoshima,"542000",2015,"540000",49,"11100",127,"4300",2005,C,B
Russia,Khabarovsk,"541000",2015,"550000",110,"4900",285,"1900",2010,C,B
Poland,Poznan,"540000",2015,"540000",85,"6400",220,"2500",2015,D,B
Russia,Novokuznetsk,"540000",2015,"540000",41,"13200",106,"5100",2015,D,B
China,"Suqian, JS","539000",2015,"410000",95,"5700",246,"2200",2010,C,B
Bangladesh,Rajshahi,"538000",2015,"500000",12,"44800",31,"17300",2011,C,B
India,"Ujjain, MP","538000",2015,"500000",16,"33600",41,"13000",2011,A,B
Spain,Santa Cruz de Tenerife,"538000",2015,"525000",42,"12800",109,"4900",2011,C,B
China,"Qitaihe, HL","537000",2015,"500000",46,"11700",119,"4500",2010,C,B
Russia,Tomsk,"537000",2015,"520000",40,"13400",104,"5200",2010,C,B
China,"Anshun, GZ","535000",2015,"445000",16,"33400",41,"12900",2010,C,B
China,"Chaoyang, LN","534000",2015,"500000",49,"10900",127,"4200",2010,C,B
Russia,Orenburg,"534000",2015,"540000",26,"20500",67,"7900",2010,C,B
United Kingdom,Leicester,"534000",2015,"509000",42,"12100",109,"4900",2011,A,A
Zimbabwe,Bulawayo,"534000",2015,"530000",90,"5900",233,"2300",2012,C,B
China,"Cangzhou, HEB","532000",2015,"500000",50,"10600",130,"4100",2010,C,B
Gambia,Banjul,"531000",2015,"500000",115,"4600",298,"1800",2013,C,B
Djibouti,Djibouti,"530000",2015,"530000",15,"35300",39,"13600",2015,D,B
India,"Kayamkulam, KL","530000",2015,"530000",16,"33100",41,"12800",2015,D,B
Mexico,Poza Rica,"530000",2015,"530000",18,"29400",47,"11400",2015,D,B
Russia,Kemerovo,"529000",2015,"530000",41,"12900",106,"5000",2010,C,B
China,"Renqiu (Cangzhou), HEB","528000",2015,"440000",26,"20300",67,"7800",2010,C,B
Iran,Ardabil,"528000",2015,"500000",24,"22000",62,"8500",2013,C,B
Brazil,Juiz de Fora,"525000",2015,"525000",40,"13100",104,"5100",2015,D,B
Russia,Astrakhan,"525000",2015,"520000",46,"11400",119,"4400",2010,C,B
Trinidad & Tobago,Port of Spain,"525000",2003,"525000",110,"4800",285,"1800",2003,F,B
France,Douai-Lens,"514000",2015,"510000",187,"2700",484,"1100",2008,A,A
Italy,Bologna,"523000",2015,"510000",60,"8700",155,"3400",2010,C,B
Switzerland,Basel,"523000",2015,"510000",77,"6800",199,"2600",2011,C,B
South Korea,Pohang,"522000",2015,"500000",35,"14900",91,"5800",2010,C,B
China,"Xiantao, HUB","520000",2015,"500000",32,"16300",83,"6300",2010,C,B
France,Grenoble,"511000",2015,"495000",198,"2500",513,"1000",2008,A,A
India,"Mathura, UP","520000",2015,"520000",18,"28900",47,"11200",2015,D,B
India,"Vellore, TN","520000",2015,"520000",18,"28900",47,"11200",2015,D,B
Mexico,Durango,"520000",2015,"520000",45,"11600",117,"4500",2015,D,B
Pakistan,Sheikhupura,"520000",2015,"520000",16,"32500",41,"12500",2015,D,B
Russia,Ryazan,"520000",2015,"520000",50,"10400",130,"4000",2015,D,B
Thailand,Udon Thani,"520000",2015,"520000",28,"18600",73,"7200",2015,D,B
Turkey,Denizli,"520000",2015,"520000",37,"14100",96,"5400",2015,D,B
Uzbekistan,Namangan,"520000",2015,"520000",55,"9500",142,"3700",2015,D,B
Iran,Arak,"517000",2015,"500000",23,"22500",60,"8700",2013,C,B
United States,"Worcester, MA-CT","514000",2015,"487000",304,"1600",7877002010,A,A
China,"Langfang, HEB-TJ","513000",2015,"440000",50,"10300",130,"4000",2010,C,B
Russia,Tula,"513000",2015,"500000",50,"10300",130,"4000",2010,C,B
United States,"Toledo, OH-MI","512000",2015,"508000",240,"2100",6228002010,A,A
Mexico,Xalapa,"511000",2015,"470000",28,"18300",73,"7000",2010,C,B
India,"Patiala, HR","510000",2015,"510000",35,"14600",91,"5600",2015,D,B
India,"Udaipur, RJ","510000",2015,"510000",28,"18200",73,"7000",2015,D,B
Lithuania,Vilnius,"510000",2015,"510000",85,"6000",220,"2300",2015,D,B
Macedonia,Skopje,"510000",2015,"500000",35,"14600",91,"5600",2010,C,B
Morocco,Tetouan,"510000",2015,"510000",20,"25500",52,"9800",2015,D,B
Myanmar,Bago,"510000",2015,"510000",22,"23200",57,"9000",2015,D,B
Japan,Matsuyama,"509000",2015,"500000",31,"16400",80,"6300",2010,C,B
Russia,Naberezhnye Tchelny,"509000",2015,"510000",50,"10200",130,"3900",2010,C,B
Germany,Aachen,"508000",2011,"510000",80,"6400",207,"2500",2011,C,B
Japan,Utsunomiya,"508000",2015,"500000",46,"11000",119,"4300",2010,C,B
India,"Rajahmundry, AP","507000",2015,"475000",21,"24100",54,"9300",2011,A,B
Japan,Mito,"505000",2005,"500000",95,"5300",246,"2100",2005,C,B
Russia,Penza,"504000",2015,"510000",47,"10700",122,"4100",2010,C,B
Egypt,Al Mahallah al Kubra,"502000",2015,"450000",10,"50200",26,"19400",2006,C,B
Spain,Murcia,"502000",2015,"475000",38,"13200",98,"5100",2011,C,B
Afghanistan,Kandahar,"500000",2015,"500000",25,"20000",65,"7700",2015,F,B
China,"Lhasa, TIB","500000",2010,"500000",40,"12500",104,"4800",2010,F,B
Congo (Dem. Rep.),Kolwezi,"500000",2015,"500000",19,"26300",49,"10200",2015,D,B
Congo (Dem. Rep.),Likasi,"500000",2015,"500000",25,"20000",65,"7700",2015,D,B
Egypt,Al Mansurah,"500000",2015,"500000",13,"38500",34,"14900",2015,D,B
India,"Gaya, BR","500000",2015,"500000",12,"41700",31,"16100",2015,D,B
India,"Imphal, MN","500000",2015,"500000",25,"20000",65,"7700",2015,D,B
India,"Jalgaon, MH","500000",2015,"500000",15,"33300",39,"12900",2015,D,B
India,"Kurnool, AP","500000",2015,"500000",12,"41700",31,"16100",2015,D,B
India,"Tellicherry, KL","500000",2001,"500000",31,"16100",80,"6200",2001,A,B
India,"Thoothukkudi, TN","500000",2015,"500000",50,"10000",130,"3900",2015,D,B
Iraq,Hillah,"500000",2015,"500000",19,"26300",49,"10200",2015,D,B
Iraq,Nasiriyah,"500000",2015,"500000",22,"22700",57,"8800",2015,D,B
Kazakhstan,Karagandy,"500000",2015,"500000",113,"4400",293,"1700",2015,D,B
Nigeria,Umuahia,"500000",2015,"500000",19,"26300",49,"10200",2015,D,B
Pakistan,Larkana,"500000",2015,"500000",10,"50000",26,"19300",2015,D,B
South Africa,Bloemfontein,"500000",2015,"500000",68,"7400",176,"2800",2015,D,B
Zambia,Ndola,"500000",2015,"500000",36,"13900",93,"5400",2015,D,B